"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"err2diilQ8C","MOH - Uganda","Acholi","Agago District","Parabongo Subcounty","Pakor HC II","Pakor HC II",143107688,183,2022,22,13480,129780,116300,1
"esaIYgP3vSp","MOH - Uganda","South Central","Kyotera District","Kasasa Subcounty","St. Jude Sanje HC II","St. Jude Sanje HC II",70920,42,2022,52,95.9999999999999,10971,10875,1
"fOjYXPjN0QN","MOH - Uganda","South Central","Rakai District","Ddwaniro Subcounty (Rakai District)","Kayonza Ddwaniro HC II","Kayonza Ddwaniro HC II",778644,37,2022,10,119784.6,162149.4,42364.8,1
"fW5SLVqgqDx","MOH - Uganda","Bukedi","Kibuku District","Lwatama Subcounty","Kibuku Lwatama HC II","Kibuku Lwatama HC II",2449840,235,2022,25,3456,386002.999999994,382546.999999994,1
"fctfxQy7JeK","MOH - Uganda","Ankole","Isingiro District","Kakamba Subcounty","Rurongo HC III","Rurongo HC III",119620,58,2022,15,820.8,44694,43873.2,1
"ffWIgtfMjjH","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Goodday Clinic HC II","Goodday Clinic HC II",240,18,2022,9,5.075,79.625,74.55,1
"fzBgyH6ixVC","MOH - Uganda","North Central","Luwero District","Kikyusa Subcounty","Holy Cross - Kikyusa HC III","Holy Cross - Kikyusa HC III",15430,13,2022,20,13.7,4763.34999999998,4749.64999999998,1
"g6xaEQ1fTQS","MOH - Uganda","Acholi","Kitgum District","Pager Division","St. Joseph's Kitgum Hospital","St. Joseph's Kitgum Hospital",104040,14,2022,9,2282.4,39500.05,37217.65,1
"gEyMEXQTUmm","MOH - Uganda","Kampala","Kampala District","Makindye Division","Peter Claver J & Sseremba Medical Centre HC II","Peter Claver J & Sseremba Medical Centre HC II",180,2,2022,13,24,75,51,1
"gXiG10Hmt7w","MOH - Uganda","Kigezi","Kisoro District","Southern Division (Kisoro MC)","Afya Clinic","Afya Clinic",11802,NA,2022,44,496.4,3218.69999999999,2722.29999999999,1
