"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"HHk9WUPh2xf","MOH - Uganda","South Central","Sembabule District","Mijwala Subcounty","Kasaalu HC II","Kasaalu HC II",288000,24,2022,13,2592,106560,103968,1
"HRUwvJnV3yt","MOH - Uganda","Ankole","Isingiro District","Kaberebere Town Council","Kikokwa HC III","Kikokwa HC III",587880,11,2022,18,2544.5,82266,79721.5,1
"HXap310Pwnz","MOH - Uganda","Tooro","Kamwenge District","Rukunyu Town Council","Rukunyu Hospital","Rukunyu Hospital",2130840,139,2022,41,1005.1,807164.999999994,806159.899999994,1
"HXq1Fb10i3f","MOH - Uganda","Teso","Katakwi District","Katakwi Town Council","Katakwi Prisons HC II","Katakwi Prisons HC II",53997,2,2022,4,452.2,5265.4,4813.2,1
"HZQq912GC0O","MOH - Uganda","South Central","Kyotera District","Kyebe Subcounty","Minziiro HC II","Minziiro HC II",1500,56,2022,22,24.3,598.85,574.55,1
"HbRR9Kem65L","MOH - Uganda","Tooro","Kamwenge District","Kabambiro Subcounty","Kabambiro HC III","Kabambiro HC III",2789630,83,2022,34,42660,902067.5,859407.5,1
"Hudt7sgd2Gu","MOH - Uganda","West Nile","Yumbe District","Kochi Subcounty","Koro Health Centre HC III","Koro Health Centre HC III",709488,167,2022,34,984,129444,128460,1
"I3q42sKAJua","MOH - Uganda","Bukedi","Tororo District","Kwapa Subcounty","Atangi HC III","Atangi HC III",4574160,132,2022,34,1476,545399.999999988,543923.999999988,1
"ILr03pFmrva","MOH - Uganda","Ankole","Bushenyi District","Kyabugimbi Town Council","Kyabugimbi HC IV","Kyabugimbi HC IV",20160,14,2022,52,180,6080,5900,1
"IfRYINCb1dC","MOH - Uganda","Teso","Kumi District","Northern Division (Kumi MC)","Kumi Prison HC II","Kumi Prison HC II",333864,1,2022,17,7396.4,63240,55843.6,1
"IgDdvRDyk3K","MOH - Uganda","Karamoja","Nakapiripirit District","Moruita Subcounty","Karinga HC II","Karinga HC II",91360,25,2022,27,1008,27139.9999999998,26131.9999999998,1
"IthQ06bKLDY","MOH - Uganda","Tooro","Bunyangabu District","Kiyombya Subcounty","Nyamiseke HC II","Nyamiseke HC II",72000,4,2022,16,720,23265,22545,1
"IuVsQCPk19T","MOH - Uganda","West Nile","Madi-Okollo District","Rigbo Subcounty","Olujobo HC III","Olujobo HC III",1054000,331,2022,48,33384,263700,230316,1
"J030lvmEXQ2","MOH - Uganda","West Nile","Madi-Okollo District","Okollo Subcounty","Akino HC II","Akino HC II",153546165,277,2022,30,34429,1189686.625,1155257.625,1
"JAPYJGfV0VY","MOH - Uganda","West Nile","Koboko District","Southern Division (Koboko MC)","Koboko Hospital","Koboko Hospital",1740600,140,2022,32,3696,371133,367437,1
"JWY3IEK3xHs","MOH - Uganda","South Central","Bukomansimbi District","Kibinge Subcounty","Legacy Medical Center HC II","Legacy Medical Center HC II",121860,50,2022,18,124.5,46897.5,46773,1
"JbCOhUCNMdN","MOH - Uganda","West Nile","Yumbe District","Odravu Subcounty","Igamara Health Centre HC III","Igamara Health Centre HC III",826200,218,2022,21,3402,59922,56520,1
